message,commit_type
"[compiler] Remove local CompilerError accumulators, emit directly to env.recordError() (#35882)",Other
"[compiler] Remove tryRecord, add catch-all error handling, fix remaining throws (#35881)",Bug Fix
[compiler] Cleanup: consistent tryRecord() wrapping and error recording (#35880),Other
[compiler] Add fault tolerance test fixtures (#35879),Bug Fix
[compiler] Phase 3: Make lower() always produce HIRFunction (#35878),Other
[compiler] Phase 8: Add multi-error test fixture and update plan (#35877),Bug Fix
"[compiler] Phase 4 (batch 2), 5, 6: Update remaining passes for fault tolerance (#35876)",Other
[compiler] Phase 4 (batch 1): Update validation passes to record errors on env (#35875),Other
[compiler] Phase 2+7: Wrap pipeline passes in tryRecord for fault tolerance (#35874),Other
[compiler] Phase 1: Add error accumulation infrastructure to Environment (#35873),Feature
[compiler] Add fault tolerance plan document (#35872),Feature
[compiler] Remove fallback compilation pipeline dead code (#35827),Other
Fix context propagation through suspended Suspense boundaries (#35839),Bug Fix
[compiler] Feature flag cleanup (#35825),Feature
[Flight] Add support for transporting `Error.cause` (#35810),Feature
Don't outline Suspense boundaries with suspensey CSS during shell flush (#35824),Other
[Flight] Walk parsed JSON instead of using reviver for parsing RSC payload (#35776),Other
[DevTools] Fix alignment of breadcrumbs separator (#35817),Bug Fix
[react-dom] Add support for `onFullscreenChange` and `onFullscreenError` events (#34621),Feature
[Native] Add RCTSelectableText as a recognized Text component (#35780),Feature
[compiler] Track locations for dependencies (#35794),Other
[Flight] Skip `transferReferencedDebugInfo` during debug info resolution (#35795),Bug Fix
[eslint-plugin-react-hooks] Add ESLint v10 support (#35720),Feature
[DevTools] Check suspense child node presence in parentSuspense.children before removing (#35775),Other
[DevTools] Dedicated empty state for roots that aren't suspended by anything (#35769),Other
[DevTools] Enable Suspense tab by default (#35768),Other
[DevTools] Remove experimental __IS_INTERNAL_MCP_BUILD__ flag and related code (#35755),Other
[fiber] bugfix - don't show <Offscreen> in error message. (#35763),Bug Fix
Minor DOM FragmentInstance refactors (#35641),Refactor
Notify FragmentInstance of added/removed text (#35637),Feature
[DevTools] Display `React.optimisticKey` in key positions (#35760),Other
[DevTools] Only block child Suspense boundaries if the parent has all shared suspenders removed (#35737),Other
"Consistent handling of work tags for rename, delete, and overriding state (#35740)",Other
[DevTools] Fix memory leak when unmounting hoistables (#35741),Bug Fix
[test] Include `uniqueSuspenders` in Suspense tree snapshots (#35736),Other
[DevTools] Don't capture durations for disconnected subtrees when profiling (#35718),Other
[DevTools] Allow renaming Host Component props (#35735),Other
"[DevTools] Fix crash when revealing stable, filtered `<Activity>` children (#35734)",Bug Fix
[DevTools] Fix false-positive re-render reports for filtered nodes (#35723),Bug Fix
[Fiber] Avoid duplicate debug info for array children (#35733),Bug Fix
[Flight] Add `unstable_allowPartialStream` option to Flight Client (#35731),Feature
[Flight] Fix `encodeReply` for JSX with temporary references (#35730),Bug Fix
[Flight] Fix debug channel flag in Node.js server renderToPipeableStream (#35724),Bug Fix
[test] Move profilingCommitTreeBuilder to versioned renderer (#35711),Other
[DevTools] Fix broken commit tree builder for initial operations (#35710),Bug Fix
[flags] Cleanup `enableHalt` (#35708),Other
[DevTools] Separate breadcrumbs with `»` (#35705),Other
[DevTools] Avoid scrollbars in Suspense breadcrumbs (#35700),Other
Disable parallel transitions in canary (#35709),Other
[DevTools] Throw an error when attempting to clone non-existent node (#35702),Other
[DevTools] Shrink/Deshrink Owners breadcrumbs on any resizes (#35694),Other
[flags] add enableEffectEventMutationPhase (#35548),Feature
[test] add activity test with gSBU and enableViewTransition bugfix (#35555),Bug Fix
[flags] Add `enableParallelTransitions` (#35392),Feature
[Flight] Fix stack overflow in `visitAsyncNode` with deep async chains (#35612),Bug Fix
Fix exhaustive deps bug with flow type casting. (#35691),Bug Fix
[compiler] Fix setState-in-effect for React.useEffect namespace calls (#35377) (#35419),Bug Fix
[compiler][snap] More minimization improvements (#35689),Other
[flags] Turn on `enableViewTransition` in OSS `react-test-renderer` (#35684),Other
[DevTools] Disable Activity slices by default (#35685),Other
[compiler][snap] Fixes to relative path resolution; compile subcommand (#35688),Bug Fix
[compiler] Fix `for` loops in try/catch (#35686),Bug Fix
[Perf Tracks] Prevent crash when accessing `$$typeof` (#35679),Other
[flags] Turn on `enableAsyncDebugInfo` everywhere (#35683),Bug Fix
[Flight] allow context providers from client modules (#35675),Other
[flags] Cleanup `enableActivity` (#35681),Other
[Flight] Allow overriding `request.timeOrigin` via `options.startTime` (#35598),Other
[DevTools] Fix commit index reset when switching profiler roots (#35672),Bug Fix
Use modern JSX runtime in Flight fixture (#35677),Bug Fix
[compiler] Add snap subcommand to minimize a test input (#35663),Feature
[react-dom] Include `submitter` in `submit` events (#35590),Other
[react-dom] Fire onReset when automatically resetting forms (#35176),Other
[compiler] Support optional/logical/etc within try/catch (#35606),Other
[Flight] Warn once if `eval` is disabled in dev environment (#35661),Other
[compiler] fix source location for return statements (#35660),Bug Fix
[Perf Tracks] Handle function names that aren't strings (#35659),Other
[tests] Fix ReactDOMAttribute-test (#35654),Bug Fix
Add additional fixtures for FragmentInstance text node support (#35631),Bug Fix
Add text node support to FragmentInstance operations (#35630),Feature
[flags] make `enableTrustedTypesIntegration` dynamic (#35646),Other
"[Flight] Restore original function name in dev, server callstacks served with `unsafe-eval` (#35650)",Other
[Perf Tracks] Use minus (`-`) instead of en dash for removed props (#35649),Other
[Perf Tracks] Handle arrays with bigints in deep objects (#35648),Other
[tests] remove withoutStack from assertConsole helpers (#35498),Other
[Flight] Fix react-markup types for server references (#35634),Bug Fix
"[Flight] Add more DoS mitigations to Flight Reply, and harden Flight (#35632)",Feature
[flags] make enableComponentPerformanceTrack static everywhere (#35629),Other
[DevTools] Apply component filters on initial load (#35587),Other
[DevTools] Update inspected element on component filter changes (#35599),Other
[repo] init claude config (#35617),Other
[compiler] Summaries of the compiler passes to assist agents in development (#35595),Other
[compiler] Improve snap workflow for debugging errors (#35539),Bug Fix
"[compiler] Collapse CompilerError.{invariant,simpleInvariant} (#35614)",Other
worktree script improvements (#35603),Other
"[compiler] snap fails if nothing compiled, unless @expectNothingCompiled (#35615)",Other
[compiler] Improve snap usability (#35537),Other
[compiler] Claude file/settings (#35523),Other
Gitignore local Claude files (#35610),Other
[flags] cleanup renameElementSymbol (#35600),Other
[flags] Remove enableHydrationLaneScheduling (#35549),Other
Add worktree script (#35593),Feature
[eslint-plugin-react-hooks] Skip compilation for non-React files (#35589),Other
Type `react-devtools-hook-installer` and `react-devtools-hook-settings-injector` messages (#35586),Other
[Fiber] getNearestMountedFiber should consider fibers with alternates as mounted (#35578),Other
[DevTools] Fix console links not being openable (#35229),Bug Fix
Cancel animation when a custom Timeline is used (#35567),Other
Remove Gesture warning when cloning the root (#35566),Other
Temporarily Mount useInsertionEffect while a Gesture snapshot is being computed (#35565),Other
Add Clean Up Callbacks to View Transition and Gesture Transition Events (#35564),Feature
Properly clean up gesture Animations (#35559),Other
Support onGestureEnter/Exit/Share/Update events (#35556),Other
[Fizz] Push a stalled use() to the ownerStack/debugTask (#35226),Bug Fix
[tests] Fix flaky flight tests (#35513),Bug Fix
[tests] add silent reporter (#35547),Feature
[internal] revert change merged accidentally (#35546),Other
[flags] clean up enableUseEffectEventHook (#35541),Other
Fix ViewTransition null stateNode with SuspenseList (#35520),Bug Fix
[Flight] Allow cyclic references to be serialized when unwrapping lazy elements (#35471),Other
[DevTools] Stop setting unused global variables (#35532),Other
[DevTools] Clear element inspection if host element not owned by any renderer is selected (#35504),Other
Typecheck React DevTools extension main script (#35519),Other
[Fiber] Instrument the lazy initializer thenable in all cases (#35521),Other
Optimize gesture by allowing the original work in progress tree to be a suspended commit (#35510),Other
Defer useDeferredValue updates in Gestures (#35511),Other
Entangle Gesture revert commit with the corresponding Action commit (#35487),Other
Commit the Gesture lane if a gesture ends closer to the target state (#35486),Other
[Fiber] fix useId tracking on replay (#35518),Bug Fix
[DevTools] Show fallback in inspected element pane when no element is selected (#35503),Other
[DevTools] Add React Element pane to browser Elements panel (#35240),Feature
Improve the detection of changed hooks (#35123),Other
Add the suffix to cancelled view transition names (#35485),Bug Fix
[tests] Require exact error messages in assertConsole helpers (#35497),Other
[Fiber] Correctly handle replaying when hydrating (#35494),Other
[DevTools] Enable minimal support in pages with `sandbox` Content-Security-Policy (#35208),Other
[test] Fix DevTools regression tests (#35501),Bug Fix
[DevTools] Attach async info in filtered fallback to parent of Suspense (#35456),Other
[ci] Add size-balanced test sequencer for better shard distribution (#35458),Feature
[ci] Increase DevTools test shards and bump timeout (#35459),Other
[ci] Separate DevTools test-build into dedicated job with fewer shards (#35457),Other
Use `FormData` `submitter` parameter (#29028),Other
[test] Add tests for cyclic arrays in Flight and Flight Reply (#35347),Feature
Skip hydration errors when a view transition has been applied (#35380),Other
Improve cyclic thenable detection in ReactFlightReplyServer (#35369),Other
Add reporting modes for react-hooks/exhaustive-effect-dependencies and temporarily enable (#35365),Feature
Devtools disable log dimming strict mode setting (#35207),Other
[test] Exclude repository root from assertions (#35361),Other
Upgrade nextjs for compiler playground (#35353),Other
[compiler] Only run validations with env.logErrors on outputMode: 'lint' (#35216),Other
[compiler] Fix VariableDeclarator source location (#35348),Bug Fix
[Flight] Add extra loop protection (#35351),Feature
"Revert ""[compiler] Fix VariableDeclarator source location (#35129)"" (#35346)",Bug Fix
[Flight] Patch Promise cycles and toString on Server Functions (#35345),Other
[compiler] Fix VariableDeclarator source location (#35129),Bug Fix
fix[devtools]: feature-check document with typeof instead of direct reference (#35343),Bug Fix
fix[devtools]: feature-check structure stack trace methods (#35293),Bug Fix
"fix[devtools]: still show overlay, if getClientRects is not implemented (#35294)",Bug Fix
Attach instance handle to DOM in DEV for enableInternalInstanceMap (#35341),Other
[Devtools] Navigating commits performance panel hotkey (#35238),Other
[eprh] Enable enableUseKeyedState and enableVerboseNoSetStateInEffect (#35338),Other
Fix ViewTransition crash in Mobile Safari (#35337),Bug Fix
[playground] Downgrade Next.js to a secure version (#35317),Other
[compiler] Add enableVerboseNoSetStateInEffect to suggest options to user/agent (#35306),Feature
[compiler][poc] Reuse ValidateExhaustiveDeps for effect dep validation (#35285),Other
[test] Cleanup stack assertions in tests mixing React Server and Client (#35316),Other
Run CI for backport releases (#35313),Other
[scripts] Remove `perf-counters` (#35308),Other
[compiler] Fix bug w functions depending on hoisted primitives (#35284),Bug Fix
fix[devtools]: no-op unsupported backend bridge events (#35296),Bug Fix
[Flight] Move `react-server-dom-webpack/*.unbundled` to private `react-server-dom-unbundled` (#35290),Other
"[Flight] Never parse ""then"" functions (#35289)",Other
[compiler] Add enableUseKeyedState flag and improve setState-in-render errors (#35230),Feature
[eprh] fix react-compiler rules missing `meta.docs.url` property (#35258),Bug Fix
[react-dom/server] Fix hanging on Deno (#35235),Bug Fix
Update changelog with latest releases (#35279),Other
Patch FlightReplyServer with fixes from ReactFlightClient (#35277),Bug Fix
[release] Allow building single release channel with processed versions (#35270),Other
[compiler] Extend setState in effect validation to useEffectEvent (#35214),Other
[test] Update ESLint e2e tests (#35233),Other
[test] Fix Error Proxy in Node.js 21+ (#35227),Bug Fix
[test] Only run tests overriding fallback and error states in supported versions (#35234),Other
"[DevTools] Move ""Back to full tree view"" into Activity list item (#35164)",Other
"[compiler][snap] Fix for filter mode with nested files, 'error.' prefix (#35215)",Bug Fix
"[compiler] Exhaustive deps: extra tests, improve diagnostic (#35213)",Other
[compiler] Enable validateExhaustiveMemoizationDependencies by default (#35201),Other
[compiler] Distingush optional/extraneous deps (#35204),Other
[compiler] Script to enable a feature by default and update tests (#35202),Feature
"[compiler] Adjustments to exhaustive deps messages, disable the lint rule (#35192)",Other
[compiler] Allow extraneous non-reactive locals (#35190),Other
[compiler] Allow manual dependencies to have different optionality than inferred deps (#35186),Other
[compiler] Allow nonreactive stable types as extraneous deps (#35185),Other
[compiler] Ignore ESLint suppressions when ValidateMemoDeps enabled (#35184),Other
[DevTools] hotkey to start/stop profiling (#35160),Other
[compiler] ValidateExhaustiveDeps disallows unnecessary non-reactive deps (#34472),Other
[compiler] Auto-fix for non-exhaustive deps (#34471),Bug Fix
[compiler] Implement exhaustive dependency checking for manual memoization (#34394),Other
"[compiler] Deprecate noEmit, add outputMode (#35112)",Feature
[compiler][poc] Quick experiment with SSR-optimization pass (#35102),Other
[compiler] Remove useState argument constraint. no-derived-computations-in-effects (#35174),Other
[compiler] Prevent innaccurate derivation recording on FunctionExpressions on no-derived-computation-in-effects (#35173),Other
Fix form status reset when component state is updated (#34075),Bug Fix
Add expertimental `optimisticKey` behind a flag (#35162),Feature
[compiler] Consider setter from useOptimistic non-reactive (#35141),Other
"[DevTools] Name root ""Transition"" when focusing on Activity (#35108)",Other
[DevTools] Show list of named Activities in Suspense tab (#35092),Other
[compiler][snap] Support pattern of files to test as CLI argument (#35148),Other
[compiler] Improve setState-in-effects rule to account for ref-gated conditionals (#35147),Other
[compiler] Extract reusable logic for control dominators (#35146),Other
[compiler] Fix for destructuring with mixed declaration/reassignment (#35144),Bug Fix
[Flight] Complete list of Node.js' internal Promise awaits (#35161),Other
[Flight] Reduce risk of maximum call stack exceeded when emitting async sequence (#35159),Other
[Flight] Fix pending chunks count for streams & async iterables in DEV (#35143),Bug Fix
[compiler] fix bad rebase from sapling (#35145),Bug Fix
[compiler] Fix for inferring props-derived-value as mutable (#35140),Bug Fix
[compiler] Repro for false positive mutation of a value derived from props (#35139),Other
[compiler] Allow ref access in callbacks passed to event handler props (#35062),Other
[Compiler] Avoid capturing global setStates for no-derived-computations lint (#35135),Other
[Compiler] Don't count a setState in the dependency array of the effect it is called on as a usage (#35134),Other
[Flight] Fix broken byte stream parsing caused by buffer detachment (#35127),Bug Fix
[react-dom] Batch updates from `resize` until next frame (#35117),Other
[compiler] source location validator (#35109),Other
[flags] disableLegacyMode in native-fb (#35120),Other
[DevTools] Batch updates when updating component filters (#35093),Other
[DevTools] Send root unmount as a regular removal operation (#35107),Other
[compiler] _exp version of ValidateNoDerivedComputationsInEffects take precedence over stable version when enabled (#35099),Other
[compiler] Update test snap to include fixture comment (#35100),Bug Fix
[tests] add more portal activity tests (#35095),Feature
[compiler] Prevent local state source variables from depending on other state (#35044),Other
[compiler] Don't validate when effect cleanup function depends on effect localized setState state derived values (#35020),Other
[compiler] Switch to track setStates by aliasing and id instead of identifier names (#34973),Other
[compiler] Update ValidateNoDerivedComputationsInEffects_exp to log the error instead of throwing (#34972),Other
[compiler] Fix false negatives and add data flow tree to compiler error for `no-deriving-state-in-effects` (#34995),Bug Fix
[compiler] Prevent overriding a derivationEntry on effect mutation and instead update typeOfValue and fix infinite loops (#34967),Bug Fix
[DevTools] Measure when reconnecting Suspense (#35098),Other
[DevTools] Don't attempt to draw bounding box if inspected element is not a Suspense (#35097),Other
Remove Dead Code in WWW JS,Other
Fix: Activity should hide portal contents (#35091),Bug Fix
[Fizz] Simplify createSuspenseBoundary path (#35087),Other
[DevTools] Special case the selected root outline (#35071),Other
[DevTools] Apply Activity slice filter when double clicking Activity (#34908),Other
Fix: Errors should not escape a hidden Activity (#35074),Bug Fix
Upgrade devtools dependency update-notifier to 5.x (#31655),Other
[Fizz] Unify preamble only fields to save a field (#35068),Other
[Fizz] Unify prerender only fields to save a field (#35067),Other
Don't skip content in visible offscreen trees for Gesture View Transitions (#35066),Other
Store instance handles in an internal map behind flag (#35053),Other
Don't skip content in visible offscreen trees for View Transitions (#35063),Other
Escape View Transition Name Strings as base64 (#35060),Other
Update bug report template for eslint plugin label (#34959),Bug Fix
Remove unstable_expectedLoadTime option (#35051),Other
Rename <Suspense unstable_expectedLoadTime> to <Suspense defer> and implement in SSR (#35022),Other
Clean up enablePostpone Experiment (#35048),Other
Disable enablePostpone flag in experimental (#31042),Other
"[Fiber] SuspenseList with ""hidden"" tail row should ""catch"" suspense (#35042)",Other
[eslint] Fix useEffectEvent checks in component syntax (#35041),Bug Fix
[Tracks] Annotate devtools.performanceIssue for Cascading Updates in DEV (#34961),Other
[Flight] Fix `hasReadable` flag in Node.js clients' debug channel (#35039),Bug Fix
Add fragment handles to children of FragmentInstances  (#34935),Feature
[Flight] Fix debug info filtering to include later resolved I/O (#35036),Bug Fix
[Fizz] Push halted await to the owner stack for late-arriving I/O info (#35019),Other
"Render children passed to ""backwards"" SuspenseList in reverse mount order (#35021)",Other
"Switch the default revealOrder to ""forwards"" and tail ""hidden"" on SuspenseList (#35018)",Other
[DevTools] Reset forced states when changing component filters (#34929),Other
[DevTools] Render selected outline on top of every other rect (#35012),Other
[DevTools] Synchronize Scroll Position Between Suspense Tab and Main Document (#34641),Documentation
[DevTools] Sort suspense timeline by end time instead of just document order (#35011),Documentation
[Flight] Cache the value if we visit the same I/O or Promise multiple times along different paths (#35005),Other
[Flight] Clone subsequent I/O nodes if it's resolved more than once (#35003),Other
[tests] disableLegacyMode in test-renderer (#35002),Other
[react-dom] Include all Node.js APIs in Bun entrypoint for `/server` (#34193),Other
[generate-changelog] Refactor (#34993),Refactor
[generate-changelog] Add `--format` option (#34992),Feature
[rn] enabled disableLegacyMode everywhere (#34947),Other
[rn] delete the legacy renderers from the sync (#34946),Other
[Flight] Don't hang after resolving cyclic references (#34988),Other
[script] Add yarn generate-changelog (#34962),Feature
[playground] Upgrade playwright (#34991),Other
[compiler] Improve display of errors on multi-line expressions (#34963),Other
[Compiler] Improve error for calculate in render useEffect validation (#34580),Other
[eprh] Bump ReactVersions for next version (#34965),Other
[eprh] Update changelog for 7.0.1 (#34964),Other
[playground] Refactor ConfigEditor to use <Activity> component (#34958),Refactor
Add hint for Node.js cjs-module-lexer for eslint-plugin-react-hook types (#34953),Feature
Add hint for Node.js cjs-module-lexer for eslint-plugin-react-hook types (#34951),Feature
[eprh] Type `configs.flat` more strictly (#34950),Other
Switch to `export =` to fix eslint-plugin-react-hooks types (#34949),Bug Fix
[forgive] Various fixes to prepare for internal sync (#34928),Bug Fix
Fix indices of hooks in devtools when using useSyncExternalStore (#34547),Bug Fix
[DevTools] chore: add useSyncExternalStore examples to shell (#34932),Feature
[compiler] loosen computed key restriction for compiler (#34902),Other
[DevTools] Title color tweak (#34927),Other
React DevTools 7.0.0 -> 7.0.1 (#34926),Other
[DevTools] Text layout fixes for stack traces with badges (#34925),Bug Fix
[compiler] Fix false positive for useMemo reassigning context vars (#34904),Bug Fix
[DevTools] chore: read from build/COMMIT_SHA fle as fallback for commit hash (#34915),Other
[DevTools] fix: dont ship source maps for css in prod builds (#34913),Bug Fix
"Lower case ""rsc stream"" debug info (#34921)",Bug Fix
[DevTools] BuiltInCallSite should have padding-left (#34922),Feature
[DevTools] Show the Suspense boundary name in the rect if there's no overlap (#34918),Other
[DevTools] Don't attach filtered IO to grandparent Suspense (#34916),Other
[Flight] Allow passing DEV only startTime as an option (#34912),Other
[Flight] Ignore bound-anonymous-fn resources as they're not considered I/O (#34911),Other
"[DevTools] Infer name from stack if it's the generic ""lazy"" name (#34907)",Other
Resolve the .default export of a React.lazy as the canonical value (#34906),Other
[DevTools] Use same Suspense naming heuristics when reconnecting (#34898),Other
[DevTools] Assign a different color and label based on environment (#34893),Other
[DevTools] Compute environment names for the timeline (#34892),Other
[DevTools] Don't highlight the root rect if no roots has unique suspenders (#34885),Other
[DevTools] Highlight the rect when the corresponding timeline bean is hovered (#34881),Other
"[DevTools] Repeat the ""name"" if there's no short description in groups (#34894)",Other
[DevTools] Tweak the rects design and create multi-environment color scheme (#34880),Other
[Flight] Fix detached `ArrayBuffer` error when streaming typed arrays (#34849),Bug Fix
[compiler] Optimize props spread for common cases (#34900),Other
[compiler] More fbt compatibility (#34887),Other
[compiler] Cleanup and enable validateNoVoidUseMemo (#34882),Other
[compiler] More useMemo validation (#34868),Other
Add MIT license header to feature flag utility script (#34833),Feature
[ESLint] Disallow passing effect event down when inlined as a prop (#34820),Other
Fix changelog link (#34879),Bug Fix
[compiler] improve zod v3 backwards compat (#34877),Other
[DevTools] Adjust the rects size by one pixel smaller (#34876),Other
[DevTools] Remove steps title from scrubber (#34878),Other
Only capture stacks for up to 10 frames for Owner Stacks (#34864),Other
[DevTools] Include some sub-pixel precision in rects (#34873),Other
[DevTools] Don't pluralize if already plural (#34870),Other
[DevTools] Don't try to load anonymous or empty urls (#34869),Other
[DevTools] Add inspection button to Suspense tab (#34867),Feature
[compiler] Fix fbt for the ∞th time (#34865),Bug Fix
[DevTools] Don't select on hover (#34860),Other
[DevTools] Don't highlight on timeline (#34861),Other
[compiler] Infer types for properties after holes in array patterns (#34847),Other
[DevTools] The bridge event types should only be defined in one direction (#34859),Other
"[DevTools] Attempt at a better ""unique suspender"" text (#34854)",Other
[DevTools] Track whether a boundary is currently suspended and make transparent (#34853),Other
[DevTools] Don't hide overflow rectangles (#34852),Other
[DevTools] Measure text nodes (#34851),Other
[DevTools] Don't measure fallbacks when suspended (#34850),Other
[playground] Allow accordion tabs to open on error (#34844),Other
[DevTools] Filter out built-in stack frames (#34828),Other
[Flight] Exclude RSC Stream if the stream resolves in a task (#34838),Other
[Flight] Forward the current environment when forwarding I/O entries (#34836),Other
[DevTools] Exclude Suspense boundaries in hidden Activity (#34756),Other
[Flight] Look for moved debugInfo when logging component performance track (#34839),Bug Fix
[Perf Tracks]: Clear potentially large measures (#34803),Other
Fix/add missing else branch for renders with no props change (#34837),Bug Fix
Current behavior for excluding Component render with unchanged props from Components track (#34822),Other
[DevTools] Group consecutive suspended by rows by the same name (#34830),Other
[Flight] Respect displayName of Promise instances on the server (#34825),Other
