message,commit_type
[compiler][fixtures] Repro for fbt + non-ascii strings,Bug Fix
[compiler][patch] Fix jsx non-ascii regex pattern,Bug Fix
[ci][ez] Rename artifact from process_artifacts_combined,Other
"[compiler] Show outlined functions in logging, playground",Other
[compiler][be] Promote destructured params to temporaries,Other
[compiler] General-purpose function outlining,Other
[compiler] Refactor Program to use queue of functions to compile,Refactor
[compiler] Fixture for function outlining,Bug Fix
[compiler] Store babel scope on Environment,Other
"fix(compiler): Align return types of `ErrImp<E>` and `OkImpl<T>` with `Result<T, E>` for TS 5.5 (#30345)",Bug Fix
[ci] Remove RELEASE_CHANNEL_stable_yarn_test_dom_fixtures from circleci,Bug Fix
[ci] Add RELEASE_CHANNEL_stable_yarn_test_dom_fixtures to gh actions,Bug Fix
[ci] Remove run_fixtures_flight_tests from circleci,Bug Fix
[ci] Add run_fixtures_flight_tests to gh actions,Bug Fix
[ci] Remove check_error_codes from circleci,Other
[ci] Add check_error_codes to gh actions,Feature
[ci] Remove some circleci jobs,Other
[ci] Remove DevTools jobs from circleci build_and_test,Other
[ez] Add gh actions status badges to readme,Feature
[ci] Try sharding test_build,Other
[ci] Add DevTools jobs to gh actions,Feature
[Fiber] Ensure `srcset` and `src` are assigned last on `img` instances (#30340),Other
[compiler] Handle earlier creation of early return on scopes,Other
[compiler] Fix mode for generating scopes for reassignments,Bug Fix
[compiler][eslint] Add donotuse flag for bailouts,Feature
[compiler][ez] Upgrade babel generator version for playground,Other
[compiler][eslint] Use logger callback instead of exceptions to report eslint diagnostics,Other
[compiler][be] Fix lint violations in eslint-plugin,Bug Fix
[native-fb] set disableDefaultPropsExceptForClasses flag to true (#30339),Other
Fix fastAddProperties to properly nullify style props (#30334),Bug Fix
[native-fb] set consoleManagedByDevToolsDuringStrictMode flag to true (#30338),Other
[Flight] Encode the name of a function as an object property (#30325),Other
[Fizz] correctly track header length (#30327),Other
Fixed  `useSyncExternalStoreWithSelector` to update memoizedSnapshot on change (#25968),Bug Fix
Add build-for-flight-dev script to package.json (#30326),Feature
Disable consoleWithStackDev Transform except in RN/WWW (#30313),Other
Remove Component Stack from React Logged Warnings and Error Reporting (#30308),Other
[ci] Combine Runtime workflows,Other
[ci] Standardize node version and timezones,Other
[RN] Set enableOwnerStacks and enableUseDeferredValueInitialArg to false,Other
[ci] Add check_release_dependencies job,Feature
[ci] Add yarn_test_build job to gh actions,Feature
[ci] Add process_artifacts_combined job,Feature
[ci] Parallelize yarn build,Other
[ci] Add yarn build_and_lint gh action,Feature
Add FB RSC Entry for React Package (#30310),Feature
Remove top stack frame from getCurrentStack (#30306),Other
Feature flag to disable legacy context for function components (#30319),Feature
Use explicit git hash length in version string (#30318),Other
Gate inlined consoleWithStackDev transpilation (#30317),Other
Updates ViewConfig types to delegate isInAParentText context (#29872),Other
Delete suppressWarning in OSS (#30312),Other
easy: add link to legacy context warning (#30315),Feature
feat(compiler): Ignore `TSInterfaceDeclaration` (#30314),Other
Override the getCurrentStack temporarily while printing uncaught errors (#30309),Other
Experiment with using an object literal for Fiber creation (#28734),Other
Convert some tests to use assertConsoleErrorDev or just avoid mocking (#30307),Other
Add RN fork of consoleWithStackDev so we can improve the mainline one (#30305),Feature
Format DOM Nesting Warning as Diff View + An Additional Log for Stack Trace (#30302),Feature
Warn about legacy context when legacy context is not disabled (#30297),Other
CI: reduce job waterfall for runtime test jobs (#30303),Other
[Flight] Serialize rate limited objects in console logs as marker an increase limit (#30294),Other
[Fiber] Override the getCurrentStack temporarily while printing errors (#30300),Other
Dedupe legacy context warnings (#30299),Other
[Fizz] Refactor Component Stack Nodes (#30298),Refactor
[Flight] Fully support serializing Map/Set in console logs (#30295),Other
Remove propTypes on instance warning (#30296),Other
[Flight] Add context for non null prototype error (#30293),Feature
[DevTools] Print component stacks as error objects to get source mapping (#30289),Other
Warn for useFormState on initial render (#30292),Other
Upgrade flow to 0.235.0 (#30118),Other
Upgrade flow to 0.234.0 (#30117),Other
Upgrade flow to 0.233.0 (#30116),Other
Add unknown location information to component stacks (#30290),Feature
Consider dispatch from `useActionState` stable (#29665),Other
[Flight] Set Current Owner / Task When Calling console.error or invoking onError/onPostpone (#30206),Other
[Flight] Implement captureStackTrace and owner stacks on the Server (#30197),Other
[Flight] Add option to replay console logs or not (#30207),Feature
fix: path handling in react devtools (#29199),Bug Fix
Don't strip out component stack in assertConsole helpers (#30204),Other
[Flight] Allow String Chunks to Passthrough in Node streams and renderToMarkup (#30131),Other
Add regression test for #30172 (#30198),Feature
React DevTools 5.3.0 -> 5.3.1 (#30199),Other
[Fizz] Track Current debugTask and run it for onError Callbacks (#30182),Bug Fix
[Fizz] Implement debugInfo (#30174),Bug Fix
Implement onError signature for renderToMarkup (#30170),Other
[Fizz] Include a component stack in prod but only lazily generate it (#30132),Other
[Fizz] Gate legacyContext field on disableLegacyContext (#30173),Other
[compiler][playground] Formatting changes to pass tabs,Other
[compiler] Flow support for playground,Other
chore[react-devtools/renderer]: dont show strict mode warning for prod renderer builds (#30158),Other
[Fizz] Enable owner stacks for SSR (#30152),Other
chore[react-devtools/ui]: fix strict mode badge styles (#30159),Bug Fix
[Fizz] Run console.createTask during SSR when available (#30142),Other
[Flight Server] Run Server Components in console.createTask when available (#30140),Other
Update `react-refresh-webpack-plugin` in Flight fixture (#30156),Bug Fix
[compiler] Clone computation block in change detection mode,Other
[prettier][eslint] Support sapling in prettier changed files command,Other
[Flight] Make byteLengthOfChunk Optional (#30130),Other
Only build react-html in experimental channel (#30129),Other
Add doctype to renderToMarkup when html tags are rendered (#30122),Feature
Add renderToMarkup for Client Components (#30121),Feature
[fix] replace polyfill.io with cloudflare equivalent (#30123),Bug Fix
Warn for invalid type in renderer with the correct RSC stack (#30102),Other
Add new package with renderToMarkup export (#30105),Feature
Remove isPrimaryRenderer from Flight Server Config (#30115),Other
Bump ws from 7.2.1 to 7.5.10 (#29919),Other
[compiler] Always error on async reassignments,Other
[compiler] Repro for nested function local reassignment issue,Other
[compiler] Add todo fixtures for local reassignment in an async callback,Bug Fix
[compiler] Validate against locals being reassigned after render,Other
[compiler] Examples of invalid code reassigning locals outside of render,Other
Update ReactFabric-test.internal to concurrent root (#30103),Other
Add new error message for awaiting the client export (#29853),Feature
Badge Environment Name on Thrown Errors from the Server (#29846),Other
Run ReactFabric-test.internal.js in xplat variant (#30101),Other
Enable `enableDeferRootSchedulingToMicrotask` and `enableInfiniteRenderLoopDetection` for React Native (Meta) (#30090),Other
compiler: fix the `hookKind` for `useInsertionEffect` (#30069),Bug Fix
Bump ws from 8.13.0 to 8.17.1 in /compiler (#30043),Other
fix[react-devtools]: restore original args when recording errors (#30091),Bug Fix
[compiler][ez] PrintHIR prints optional flag for debugging,Bug Fix
[compiler][patch] Patch O(n^2) traversal in validatePreserveMemo,Other
[compiler][hir] Correctly remove non-existent terminal preds when pruning labels,Other
[compiler][ez] Add more Array.prototype methods,Feature
[compiler][ez] Patch Array.concat object shape to capture callee,Other
[compiler][rewrite] Patch logic for aligning scopes to non-value blocks,Other
"[compiler][fixtures] test repros: codegen, alignScope, phis",Bug Fix
Read constructor name more carefully (#29954),Other
[ez] Remove outdated files,Other
Bump version to 0.0.0-experimental-b130d5f-20240625,Other
Bump version to 0.0.0-experimental-0998c1e-20240625,Other
Bump version to 0.0.0-experimental-696af53-20240625,Other
[compiler] Enable sourceMaps in tsconfig (#30064),Other
[compiler] Fix assignment within for update expression,Bug Fix
Set renameElementSymbol to dynamic value (#30066),Other
Clean up enableUnifiedSyncLane flag (#30062),Other
refactor[react-devtools/extensions]: dont debounce cleanup logic on navigation (#30027),Refactor
[ci] Cleanup,Other
[ci] Remove circleci check_generated_fizz_runtime job,Other
[ci] Add new fizz GitHub action,Feature
[ci] Remove circleci yarn_test job,Other
[ci] Improve parallelism of yarn test,Other
[ci] Add new yarn test GitHub action,Feature
[compiler] add fixture for optimization across scopes,Bug Fix
[compiler] Optimize instruction reordering,Other
[ci] Remove circleci yarn_flags job,Other
[ci] Add new flags GitHub action,Feature
[ci] Remove circleci yarn_flow job,Other
[ci] Parallelize flow github action,Other
[ci] Add new flow GitHub action,Feature
lint: enable reportUnusedDisableDirectives and remove unused suppressions (#28721),Other
[ci] Remove circleci yarn_lint job,Other
[ci] Add new lint GitHub action,Feature
[prettier] Run prettier,Other
[prettier] Combine compiler and runtime configs,Other
[compiler:codegen] Wrap non-ascii characters in JsxExpressionContainer,Other
www: remove dynamic scheduler feature flag: enableProfiling (#29996),Feature
Plumbing of isomorphic code (#29967),Other
Re-enable prettier for compiler/,Other
"Revert ""www: remove dynamic feature flag enableSchedulingProfiler"" (#29995)",Feature
www: remove dynamic feature flag enableSchedulingProfiler (#29994),Feature
[chore] Fix TypeError in shouldSkipBundle During yarn build-for-devtools-dev and yarn build-for-devtools-prod  Commands (#29906),Bug Fix
fix[compiler playground]: Set source as the pre-change state in HIR diff (#29957),Bug Fix
fix[react-devtools/extensions]: propagate globals from env (#29963),Bug Fix
"Export captureOwnerStacks() only in DEV ""react"" builds (#29923)",Other
refactor[react-devtools/tests]: use registered marks instead of cleared in tests (#29929),Refactor
[compiler] Treat ref-like named objects as refs (#29916),Other
React DevTools 5.2.0 -> 5.3.0 (#29918),Other
Consider dispatch function from useActionState non-reactive (#29917),Other
chore[react-devtools]: improve console arguments formatting before passing it to original console (#29873),Other
chore[react-devtools]: unify console patching and default to ansi escape symbols (#29869),Other
[compiler] Support method-call version of macro functions,Other
chore[react-devtools/backend]: remove consoleManagedByDevToolsDuringStrictMode (#29856),Other
chore[react-devtools/extensions]: make source maps url relative (#29886),Other
Prepare Feature Flags for React Native 0.75 (#29903),Feature
Bump version to 0.0.0-experimental-c20572a-20240614,Other
Bump version to 0.0.0-experimental-8ae29d2-20240614,Other
Bump version to 0.0.0-experimental-179941d-20240614,Other
[compiler] Instruction reordering,Other
[compiler] Allow more instruction kinds btw merged scopes,Other
"Revert ""Set disableLegacyMode to true for www"" (#29901)",Other
Use a constant HostContext in prod builds for Fabric renderer (#29888),Other
sanitize javascript: urls for <object> tags (#29808),Other
Set disableLegacyMode to true for www (#29871),Other
[compiler] Provide support for custom fbt-like macro functions,Other
[compiler][playground] Make change detection work in playground,Other
created a vscode workspace file for the repo (#29830),Other
[compiler] Fix visitors to emit the correct kind,Bug Fix
fix[react-devtools] divided inspecting elements between inspecting do… (#29885),Bug Fix
[compiler] Make unary and binary operator types more precise,Other
Standardize condition order so that edge-lite preferred over browser (#29877),Other
[compiler] Fix merging of queued states in InferReferenceEffects,Bug Fix
Execute event handlers in the context of the instance that it's associated with (#29876),Other
Avoid acccessing React internals from `use-sync-external-store/shim` (#29868),Other
Bump braces from 3.0.2 to 3.0.3 in /fixtures/flight-esm (#29857),Bug Fix
remove unstable_renderSubtreeIntoContainer (#29771),Other
delete ReactServerStreamConfig.dom-fb-experimental.js (#29836),Other
[Flight] Let environmentName vary over time by making it a function of string  (#29867),Other
[Flight] Let Errored/Blocked Direct References Turn Nearest Element Lazy (#29823),Other
Use the Nearest Parent of an Errored Promise as its Owner (#29814),Other
[compiler] Expect component props annotations to be potential objects,Other
[compiler] Expect components to have hook calls or jsx directly in body,Other
[compiler] Option to only compile component syntax,Other
[Fiber] Track debugInfo on module state instead of stack (#29807),Bug Fix
[Fiber] Create virtual Fiber when an error occurs during reconcilation (#29804),Other
[Flight/Fizz] Use Constructors for Large Request/Response Objects in Flight/Fizz (#29858),Other
[compiler] Remove .vscode,Other
Bump braces from 3.0.2 to 3.0.3 in /fixtures/legacy-jsx-runtimes (#29844),Bug Fix
Bump braces from 3.0.2 to 3.0.3 in /fixtures/flight (#29845),Bug Fix
Bump braces from 3.0.2 to 3.0.3 in /fixtures/stacks (#29843),Bug Fix
[compiler] HIR-based FlattenScopesWithHooksOrUse,Other
[compiler] HIR-based FlattenReactiveLoops,Other
[compiler] Add pruned-scope terminal in HIR,Feature
fix[react-devtools] component badge in light mode is now not invisible (#29852),Bug Fix
[compiler] Remove unused scripts,Other
[compiler] Remove playground postinstall script,Other
fix[compiler] remove duplicate parsePluginOptions from the compilePro… (#29831),Bug Fix
Remove Warning: prefix and toString on console Arguments (#29839),Bug Fix
Add jest lint rules (#29760),Feature
[compiler] Type `ref` prop as a ref,Other
Fix xplat sync syntax error,Bug Fix
Fix xplat sync (#29833),Bug Fix
compiler: Known hooks/nonescaping scopes dont count as pruned,Other
compiler: Log metrics on pruned memo blocks/values,Other
compiler: treat pruned scope outputs as reactive,Other
compiler: Promote pruned scope declarations to temporaries if used in a later scope,Other
compiler: Represent pruned scopes instead of inlining,Other
Revert bad push,Other
don't commit,Other
try this,Other
Move @generated from build to sync (#29799),Other
feat(compiler): Support MetaProperty (#29752),Other
Minify DEV bundles with closure (#29809),Other
[Float][Fiber] Assume stylesheets in document are already loaded (#29811),Documentation
[compiler] Always emit variable decl in gating mode,Other
[compiler] Add repro for func properties bug with gating,Bug Fix
[Fiber] Track the Real Fiber for Key Warnings (#29791),Other
[compiler] Fix outdated comment in scripts/release,Bug Fix
[Flight] Run recreated Errors within a fake native stack (#29717),Other
www: make disableLegacyMode dynamic flag (#29774),Other
compiler: Add support for ref effects,Feature
[Flight] Allow aborting during render (#29764),Other
fix[react-devtools/store-test]: fork the test to represent current be… (#29777),Bug Fix
Fix RN version string in builds (#29787),Bug Fix
[compiler] Check for __DEV__ for FastRefresh,Other
fix<compiler>: reread the testfilter file if filter enabled during the watch process (#29775),Bug Fix
[Flight] Schedule work in a microtask (#29491),Other
[Flight][Fizz] schedule work async (#29551),Other
Default native inspections config false (#29784),Other
fix[react-devtools] remove native inspection button when it can't be used (#29779),Bug Fix
feat<Compiler>: consider that the dispatch function from `useReducer` is non-reactive (#29705),Other
chore[react-devtools]: ip => internal-ip (#29772),Other
Add enableShallowPropDiffing feature flag (#29664),Feature
Fix #29724: `ip` dependency update for CVE-2024-29415 (#29725),Bug Fix
[Flight] Override prepareStackTrace when reading stacks (#29740),Other
[Flight] Encode fragments properly in DEV (#29762),Other
Add xplat test variants (#29734),Feature
Remove startTransition and useActionState from react-server condition of react (#29753),Other
www: set enableRefAsProp to true (#29756),Other
fix<compiler>: only call readTestFilter if the filter option is enabled (#29720),Bug Fix
compiler: Allow opting out of installed library check,Other
Fix xplat sync to ignore @generated header (#29738),Bug Fix
[Fiber] Prefix owner stacks with the current stack at the console call (#29697),Bug Fix
Update build script to automatically generate RCs (#29736),Other
"useActionState: On error, cancel remaining actions (#29695)",Other
useActionState: Transfer transition context (#29694),Other
Fix stylesheet typo in 29693 (#29732),Bug Fix
"[Fiber][Float] Error when a host fiber changes ""flavor"" (#29693)",Other
Don't skip www commit,Other
Skip empty sync commits (both repos) (#29707),Other
[Flight] Add findSourceMapURL option to get a URL to load Server source maps from (#29708),Feature
Bump version to 0.0.0-experimental-7054a14-20240601,Other
Bump version to 0.0.0-experimental-51a85ea-20240601,Other
Bump version to 0.0.0-experimental-938cd9a-20240601,Other
[compiler:eslint] Don't crash if hermes parser fails to parse,Other
Fix: `useTransition` after `use` gets stuck in pending state (#29670),Bug Fix
[compiler] rfc: Include location information in identifiers and reactive scopes for debugging,Bug Fix
[compiler] Recompute values every time,Other
[compiler] Prune dependencies that are only used by useRef or useState,Other
[compiler] Debug tool to emit change detection code rather than memoization,Bug Fix
[compiler] Option to always take the non-memo branch,Other
[compiler] Option for preserving calls to useMemo/useCallback,Other
Create a root task for every Flight response (#29673),Other
Don't allow blank issues (#29691),Other
Use both displayName and name in forwardRef/memo (#29625),Other
Fix Missing `key` Validation in `React.Children` (#29675),Bug Fix
Add react-easy-state to list of known incompatible libraries. (#29661),Feature
[Flight] Try/Catch Eval (#29671),Other
[Flight] Eval Fake Server Component Functions to Recreate Native Stacks (#29632),Other
fix[ReactDebugHooks/find-primitive-index]: remove some assumptions (#29652),Bug Fix
Revert Build Versions from Content Hash to Commit Hash (#29663),Other
Fix `key` Warning for Flattened Positional Children (#29662),Bug Fix
Add tests for ReactNativeAttributePayloadFabric.js (#29608),Feature
feat(compiler): Implement constant folding for more binary expressions (#29650),Other
compiler: ValidateNoRefInRender detects writes of refs,Other
feat(compiler): Compiler Logical Negation Constant Propagation (#29623),Other
"Tweak error message for ""Should have a queue"" (#29626)",Other
compiler: fixtures for fast-refresh mode (w todos),Bug Fix
compiler: Add todo for getter/setter syntax,Feature
compiler: Allow global mutation in jsx props,Other
Update .git-blame-ignore-revs,Other
"Fix ""findNodeHandle inside its render()"" False Positive Warning (#29627)",Bug Fix
Bump version to 0.0.0-experimental-31393f7-20240529,Other
Bump version to 0.0.0-experimental-a97cca1-20240529,Other
Bump version to 0.0.0-experimental-487cb0e-20240529,Other
[compiler] Ignore run prettier commit in git blame,Other
[compiler:babel] Don't read config files when not running as part of user's pipeline,Other
"[compiler] Run prettier, fix snap",Bug Fix
[compiler] Fix up prettier,Bug Fix
feat(compiler): Implement constant string concat propagation (#29621),Other
[Flight] Check if a return value is a client reference before introspecting (#29611),Other
compiler: fix for calls on builtin jsx/function types,Bug Fix
compiler: error on reassigning to const,Other
Export `version` from `react-dom` entry with `react-server` condition (#29596),Other
Fix: Use action implementation at time of dispatch (#29618),Bug Fix
Clean up disableDOMTestUtils (#29610),Other
Throw if React and React DOM versions don't match (#29236),Other
Repro function expr hoisting (#29615),Other
cleanup[react-devtools]: remove unused supportsProfiling flag from store config (#29193),Other
[Fiber] Enable Native console.createTask Stacks When Available (#29223),Other
[Fiber] Replace setCurrentDebugFiberInDEV with runWithFiberInDEV (#29221),Bug Fix
[Fiber] Use Owner/JSX Stack When Appending Stacks to Console (#29206),Other
compiler: only resolve globals and react imports,Other
compiler: getGlobalDeclaration() takes a NonLocalBinding,Other
compiler: distinguish globals/imports/module-locals,Other
Fix async batching in React.startTransition (#29226),Bug Fix
[Fiber] clarify entry condition for suspensey commit recursion (#29222),Other
Move createElement/JSX Warnings into the Renderer (#29088),Other
compiler: repro for unmerged scopes due to intermediates,Other
compiler: Use types to decide which scopes are eligible for merging,Other
compiler: Improve merging of memo scopes that invalidate together,Other
compiler: fixture for suboptimal jsx sibling memo block merging,Bug Fix
Set the current fiber to the source of the error during error reporting (#29044),Other
Unify ReactFiberCurrentOwner and ReactCurrentFiber (#29038),Other
compiler: Handle TSNonNullAssertion expressions (#29218),Other
[Flight] Allow temporary references in `decodeReplyFromBusboy` (#29219),Other
Dim `console` calls on additional Effect invocations due to `StrictMode` (#29007),Feature
[Flight Reply] retain listeners when resolving models with existing listeners (#29207),Other
[Fiber] render boundary in fallback if it contains a new stylesheet during sync update (#28965),Other
[compiler:playground] Update babel.config.js,Other
[compiler:playground] JS tab is expanded by default,Other
[Flight] don't overwrite existing chunk listeners in 'wakeChunkIfInitialized' (#29204),Other
[compiler:playground] Wait for build before running playground,Other
[Flight / Flight Reply] Don't clear pending listeners when entering blocked state (#29201),Other
Fix assertConsoleErrorDev on message mismatch with withoutStack: true (#29198),Bug Fix
Enable `disableStringRefs` and `enableRefAsProp` for React Native (Meta) (#29177),Other
Stop using Scheduler.log to test double invocations (#29008),Other
React DOM: Treat toggle and beforetoggle as discrete events (#29176),Other
React DOM: Add support for Popover API (#27981),Feature
feat(compiler-healthcheck): Support strict mode check for nextjs apps (#29167),Other
[Compiler playground] bold changed passes (#29159),Other
refactor[react-devtools]: rewrite context menus (#29049),Refactor
Bump word-wrap from 1.2.3 to 1.2.5 in /compiler (#29064),Other
Bump tough-cookie from 4.1.2 to 4.1.4 in /compiler (#29065),Other
Bump rustix from 0.37.22 to 0.37.27 in /compiler (#29173),Other
Bump postcss from 8.4.24 to 8.4.31 in /compiler (#29063),Other
[compiler:chore] fix SSA pdf reference link (#29162),Bug Fix
compiler: fix accidental propagation of function effects from StartMemoize/FinishMemoize,Bug Fix
compiler: Improve ValidateNoRefAccessInRender to ignore access in effects,Other
feat(hyperlink): added a hyperlink to Node in README.md file (#28940),Feature
Add hyperlink for Good First Issues header (#29103),Feature
Add packageManager fields for Corepack compat (#29114),Feature
Bump version to 0.0.0-experimental-f978439-20240517,Other
Bump version to 0.0.0-experimental-c8b3f72-20240517,Other
Bump version to 0.0.0-experimental-592953e-20240517,Other
[compiler:publish] Don't check branch in debug mode,Bug Fix
[compiler:publish] Bump time to reconsider to 3s,Other
[compiler:publish] Prompt for OTP,Other
[compiler:publish] Don't hash node_modules,Other
[compiler:publish] Rename publish script,Other
compiler: workaround babel issue with html entity escaping,Other
[compiler:playground] Resizable tabs (#29133),Other
[Compiler][script] Dedupe error report counts before reporting in healthcheck (#29085),Other
compiler: update comment on memo cache import code,Other
Add issue template for React Compiler,Feature
compiler: Workaround Babel bug with unicode in jsx string attrs,Bug Fix
Lazily freeze in case anything in the currently initializing chunk is blocked (#29139),Other
[compiler] Todo for for-await loops,Other
[compiler:playground] Fix broken builds,Bug Fix
compiler: merge reactive scopes across const StoreLocal (#29095),Other
docs: fix typo DESIGN_GOALS.md (#29102),Bug Fix
allow compiler playground to scroll horizontally,Other
[React Compiler] Fix rule name for ESLint plugin (#29096),Bug Fix
[React Compiler] use `filename` instead of `context.filename` in ESLint plugin (#29104),Other
Bump version to 0.0.0-experimental-8d5174c-20240515,Other
Bump version to 0.0.0-experimental-53bb89e-20240515,Other
Bump version to 0.0.0-experimental-c23de8d-20240515,Other
[compiler:publish] Specify https for registry,Other
chore(docs): fix typo (plugion => plugin) in DESIGN_GOALS.md (#29086),Bug Fix
[compiler] Add readme for babel plugin,Feature
[compiler] Check if current branch is main,Other
[compiler] Various fixes for publishing script,Bug Fix
[compiler:eslint] Fix false positive with TS type param syntax,Bug Fix
compiler: fix jsx text attributes with double quotes (#29079),Bug Fix
[heathcheck] Check for namespaced StrictMode (#29076),Other
Fix ESLint and Prettier configs for React Compiler (#29073),Bug Fix
"Add a `main` field to `eslint-plugin-react-compiler`, fixes #29068. (#29072)",Bug Fix
Merge pull request #29061 from facebook/compiler,Other
Publish React Compiler to open source,Other
Bump version to 0.0.0-experimental-410375f-20240515,Other
Bump version to 0.0.0-experimental-e04a001-20240515,Other
Bump version to 0.0.0-experimental-4690415-20240515,Other
Unthrow publish script,Other
Bump React 19 beta to RC (#29060),Other
Fix CI for compiler paths,Bug Fix
Don't emit types for babel-plugin-react-compiler,Other
[publish] Add script to publish packages,Feature
"[publish] Fix `files` field for packages, invalid version range",Bug Fix
Fix healthcheck package.json bin field,Bug Fix
Remove 2 no longer existing files from inlinedHostConfig (#29027),Other
Enable `enableUnifiedSyncLane` for React Native (Meta) (#29052),Other
Fix Jest tests,Bug Fix
[healthcheck] Clean up ignorelist and check if deps exist,Other
CI: remove non-functional Rust compiler benchmark workflow (#2948),Other
Use unique name for c import local identifier,Other
[healthcheck] Refine glob pattern,Other
[healthcheck] Don't compile mjs,Other
[healthcheck] Remove console.error,Other
[healthcheck] Only glob files with certain extensions by default,Other
[healthcheck] Rename to react-compiler-healthcheck,Other
[healthcheck] Fix build,Bug Fix
[healthcheck] Build with rollup,Other
Better detection for reanimated,Other
ReAnimated -> Reanimated,Other
[Flight] Error if a legacy React Element is attempted to be rendered (#29043),Other
Clean up the enableEarlyReturnForPropDiffing experiment (#29041),Other
[Flight] Enable Binary and ReadableStreams in Stable (#29035),Other
[Flight Reply] Encode Objects Returned to the Client by Reference (#29010),Other
[Flight Reply] Dedupe Objects and Support Cyclic References (#28997),Other
[Flight] Encode references to existing objects by property path (#28996),Other
Support HMR,Other
Support useFormStatus in progressively-enhanced forms (#29019),Other
Track Stack of JSX Calls (#29032),Other
Upgrade jest and jsdom (#29026),Other
Facebook: merge react index.classic.fb and index.modern.fb (#29025),Other
Cleanup enableServerComponentKeys flag (#28743),Other
React DevTools 5.1.0 -> 5.2.0 (#29022),Other
fix[react-devtools/InspectedElementView.css]: dont draw bottom border for empty badge list (#29023),Bug Fix
Clean up fastAddProperties and make it more correct (#29015),Feature
fix[react-devtools/ci]: fix configurations for e2e testing (#29016),Bug Fix
[Flight Reply] Resolve outlined models async in Reply just like in Flight Client (#28988),Other
[Fizz] Fallback to client replaying actions if we're trying to serialize a Blob (#28987),Other
[Flight Reply] Encode binary streams as a single collapsed Blob (#28986),Other
CI: remove react.yml integration test workflow (#2947),Other
CI: fix Compiler Playground workflow (#2945),Bug Fix
CI: fix Compiler TypeScript workflow (#2946),Bug Fix
Rust: add stub for ensure_sufficient_stack (#2943),Feature
feat[react-devtools]: display forget badge for components in profiling session (#29014),Other
fix[react-devtools]: add backwards compat with legacy element type symbol (#28982),Bug Fix
CI: fix Rust CI workflows (#2942),Bug Fix
Allow specifying timeout in tests via third argument (#29006),Other
"[DevTools] Expose ""view source"" options to Fusebox integration (#28973)",Other
CI: move .github directory back to root (#2941),Other
Create Fabric-specific version of ReactNativeAttributesPayload (#28841),Other
Add failing test for eslint-plugin false positive,Feature
Clarify how to address ValidateNoCapitalizedCalls errors,Feature
Allow eslint rule reportable severity to be set,Other
Default to raising all errors in eslint plugin,Other
Use default runtimeModule setting in Snap tests (#2940),Other
[easy] remove unstable_useMemoCache reference from a snapshot file (#2937),Other
Upgrade to React 19 beta (#2938),Other
Update readme and other docs,Documentation
Set enableUseMemoCacheHook to true everywhere (#28964),Other
Setup Wave 2 of Feature Flags for React Native (#28990),Feature
Remove domain from playground font sources (#2934),Other
Add FB build for ReactReconcilerConstants (#29003),Feature
Update `compiled-rn` destination paths to `vendor/react` (#28989),Other
[Flight Reply] Encode ReadableStream and AsyncIterables (#28893),Other
Use undici polyfill for tests in old Node versions (#28887),Other
[Flight] Track Owner on AsyncLocalStorage When Available (#28807),Other
Support <fbs> in addition to <fbt>,Feature
Bundle config: inline internal hook wrapper (#28978),Other
Stop committing resources to an external repo (#28963),Other
Expand the architecture doc,Documentation
[DevTools] Enable inspected element context menu in Fusebox (#28972),Other
"[DevTools] Check in `frontend.d.ts` for react-devtools-fusebox, include in build output (#28970)",Other
Add flag to test fast jsx (#28816),Feature
Enable Wave 1 of Feature Flags for React Native (#28977),Feature
Rename react-compiler-runtime,Other
Rename ReactForgetBabelPlugin locals,Other
"Rename {r,R}unReactForgetBabelPlugin",Other
Update references to Forget to React Compiler,Other
Rename babel plugin,Other
DevTools: Fix inspecting components with multiple reads of the same Context in React 17 (#28974),Bug Fix
Devtools: Fix build-for-devtools (#28976),Bug Fix
Devtools: Streamline getting extension from branch (#28975),Other
Introduce a faster version of the addProperties function (#28969),Feature
[Tooling] Update critical artifact list (#28966),Other
ReactDOM: Fix missing form data when the submitter is outside the form (#28056),Bug Fix
Remove duplicated hermes-parser,Other
Don't compile node_modules by default,Other
Update babel plugin to use runtime from react/compiler-runtime (#2918),Other
[hir] Mark MethodCalls as escaping,Other
[healthcheck] Refactor checks into separate files,Refactor
[healthcheck] Check for incompatible libraries,Other
[healthcheck] Check for StrictMode,Other
[healthcheck] Add status message,Feature
Dynamically detect reanimated plugin,Other
Move useMemoCache hook to react/compiler-runtime (#28954),Other
[react-native] Add unit test to ReactNativeAttributePayload (#28955),Feature
Import correct prod version of jsx-dev-runtime for react-server (#28939),Other
fix: add `react-server` condition for `react/jsx-dev-runtime` (#28921),Bug Fix
Add changelog for 18.3.1 (#28932),Feature
Add changelog for 18.3 (#28929),Feature
Create React 19 issue template,Other
Disable ValidateNoCapitalizedCalls by default,Other
[hir-rewrite] Remove breaks to HIR ScopeTerminal after converting to reactiveFunction IR,Other
[tests] Add fixtures showing HIR rewrite changes,Bug Fix
[hir] Rewrite buildReactiveBlocks -> buildReactiveScopeTerminalsHIR,Other
(Land #28798) Move Current Owner (and Cache) to an Async Dispatcher (#28912),Other
"Update canary channel label to ""beta"" (#28905)",Other
Reconciler: Change `commitUpdate` signature to account for unused `updatePayload` parameter (#28909),Other
Go back to shared refs instance object (#28911),Other
Support ref cleanup function for imperative handle refs (#28910),Other
